"ID","description","acceptance criteria"
"HU001","Como usuario Quiero poder crear múltiples chats, donde cada chat represente un proyecto independiente Para gestionar diferentes iniciativas sin mezclar su documentación.","El usuario puede crear un nuevo proyecto desde un botón “+”.; Cada proyecto crea automáticamente un chat independiente.; No existe límite en la cantidad de proyectos creados por usuario.; Cada proyecto almacena sus propias secciones: Contexto, Requerimientos, Work Items, Stack y Diagramas.; El proyecto queda persistido en base de datos."
"HU002","Como usuario Quiero visualizar mis proyectos previamente creados Para poder retomarlos y continuar su edición.","El sistema muestra una lista paginada de proyectos en una barra lateral.; Se visualiza nombre, fecha de creación y última modificación.; El usuario puede abrir cualquier proyecto desde la lista.; Solo se muestran proyectos del usuario autenticado."
"HU003","Como usuario Quiero editar cualquier sección de un proyecto Para ajustar la documentación generada por IA.","El usuario puede editar texto libremente dentro de cualquier sección.; Los cambios se guardan mediante botón “Guardar”.; Se registra fecha de última modificación."
"HU004","Como usuario Quiero solicitar la regeneración de una sección específica Para actualizar el contenido según nuevas aclaraciones.","El usuario puede seleccionar una sección y hacer clic en “Regenerar”.; El usuario puede escribir con lenguaje natural los cambios que se deben hacer a la sección entera.; Solo se regenera la sección seleccionada."
"HU005","Como usuario Quiero eliminar un proyecto existente Para mantener organizada mi lista de iniciativas.","El sistema solicita confirmación explícita.; Una vez eliminado, no aparece en la lista.; La eliminación pasa a papelera."
"HU006","Como usuario Quiero iniciar un proyecto con un prompt descriptivo Para que la IA genere la documentación base.","El sistema muestra un campo para la descripción inicial.; No permite continuar si está vacío.; La descripción se almacena como input inicial del proyecto."
"HU007","Como sistema Quiero solicitar información adicional cuando el prompt no sea suficientemente específico Para asegurar claridad antes de generar documentación.","El orquestador verifica que la descripción sea lo suficientemente clara.; Si no cumple, genera preguntas aclaratorias.; El usuario debe volver a ingresar una descripción mejorada del proyecto."
"HU008","Como usuario Quiero ver un resumen de entendimiento del proyecto antes de que se generen todas las secciones Para validar que la IA comprendió correctamente.","El sistema muestra la sección de “Contexto” generada por el orquestador.; El usuario puede aprobar o solicitar ajustes.; La generación completa solo inicia tras aprobación."
"HU009","Como usuario Quiero que el sistema genere automáticamente contexto, requerimientos, stack, work items y diagramas Para obtener una base integral del proyecto.","Se generan las siguientes secciones:; Contexto; Requerimientos funcionales y no funcionales; Elementos de trabajo; Stack tecnológico; Diagramas; Cada sección es generada por un agente especializado.; Las secciones aparecen progresivamente en pantalla como si la IA estuviera escribiendo.; Se muestra cuando la sección terminó de generarse y está lista para ser editada."
"HU010","Como administrador del sistema Quiero que exista un agente orquestador que coordine múltiples agentes en paralelo Para generar documentación de forma eficiente.","Existe un agente orquestador con mayor capacidad de razonamiento (parámetros).; Lanza 4 agentes especializados:; Stack; Requerimientos; Elementos de trabajo; Diagramas; La generación ocurre en paralelo para una menor espera.; Diseño de Funcionalidad:"
"HU011","Como usuario Quiero ver la generación en tiempo real Para reducir la percepción de espera.","El texto aparece progresivamente.; Cada agente muestra su progreso independientemente.; Existe indicador visual de generación activa."
"HU012","Como organización Quiero que la documentación generada se alinee a los lineamientos de Banorte Para asegurar el cumplimiento institucional.","No se genera contenido fuera de restricciones técnicas definidas.; Se respeta la documentación obligatoria para los proyectos de Banorte."
"HU013","Como usuario Quiero que cada requerimiento tenga un ID único Para asegurar trazabilidad.","Formato configurable (ej: RF-001) mediante la regeneración.; Asignación automática consecutiva del contenido generado por IA.; No se repiten identificadores.; Al crear manualmente uno nuevo, se asigna el siguiente ID disponible."
"HU014","Como sistema Quiero validar cambios al stack propuesto Para evitar violaciones a políticas de Banorte.","El sistema evalúa cada modificación y la compara con las restricciones técnicas (ej. cambiar el lenguaje de programación).; Si viola alguna restricción, muestra un mensaje de rechazo.; No se cambia algo en caso de recibir una modificación inválida."
"HU015","Como usuario con conocimiento técnico Quiero proponer nuevos y/o diferentes componentes del stack tecnológico que se adapten a las restricciones de la organización Para poder trabajar con tecnologías que considero mejores o con las que me considero más cómodo.","El usuario puede proponer una nueva tecnología o componente técnico (ej. servidor de caché).; Si viola alguna restricción, muestra un mensaje de rechazo.; No se cambia algo en caso de recibir una modificación inválida."
"HU016","Como usuario Quiero generar elementos de trabajo Para poder mejorar la eficiencia detrás del módulo de flujo de trabajo y la administración general del proyecto.","Se generan:; Épicas; Historias de Usuario; Sprints; Metas de Sprint; Cada elemento tiene ID único."
"HU017","Como usuario Quiero proponer nuevos y/o diferentes elementos de trabajo Para poder adaptar la planeación y delegación de tareas a mi flujo de trabajo.","El usuario puede definir nuevos tipos (Feature, Task).; El sistema permite creación y edición.; Se asigna ID consecutivo automático; Asignación automática consecutiva del contenido generado por IA.; No se repiten identificadores.; Al crear manualmente uno nuevo, se asigna el siguiente ID disponible.."
"HU018","Como usuario Quiero interactuar con los diagramas generados Para adaptar visualmente el diseño.","Permite:; Agregar nodos; Editar nodos; Arrastrar y soltar; Generar múltiples diagramas; El diagrama se ajusta a cambios."
"HU019","Como usuario Quiero ingresar a la aplicación con mis credenciales institucionales de manera segura Para que se mantenga la integridad de mi información","Login mediante credenciales institucionales.; Manejo de sesión segura.; Acceso solo a proyectos propios."
"HU020","Como organización Quiero que el inicio de sesión se bloquee después de 5 intentos fallidos Para evitar que un usuario con malas intenciones entre por fuerza bruta o sature el sistema.","Tras 5 intentos fallidos consecutivos se bloquea el inicio de sesión.; Se notifica al usuario que sobrepasó los intentos.; El usuario debe esperar un tiempo establecido para volver a iniciar sesión."
"HU021","Como sistema Quiero que solo se pueda tener una sección activa por usuario a la vez Para evitar que existan generaciones paralelas de proyectos para un mismo usuario.","Solo una sesión activa por usuario.; Si inicia nueva sesión, no va a poder ingresar por tener una sesión activa."
"HU022","Como usuario Quiero exportar mi proyecto en diferentes formatos (PDF, Word o Markdown) Para poder compartir la documentación fuera de la plataforma","El sistema permite seleccionar el formato de exportación.; Solo se exporta la información del proyecto seleccionado."
"HU023","Como usuario Quiero guardar versiones de mi proyecto Para poder regresar a un estado anterior en caso de errores","El sistema permite crear una nueva versión manual del proyecto.; Cada versión guarda fecha y hora de creación."
"HU024","Como usuario Quiero visualizar el historial de cambios realizados en mi proyecto Para tener trazabilidad de las modificaciones","El sistema muestra una lista de cambios con fecha, hora y sección modificada.; Se indica si el cambio fue generado por IA o editado manualmente.; El historial se muestra en orden cronológico."
"HU025","Como usuario Quiero recuperar proyectos eliminados desde la papelera Para evitar la pérdida accidental de información","Los proyectos eliminados se almacenan en una sección de papelera.; El usuario puede restaurar un proyecto eliminado.; El proyecto restaurado vuelve a la lista principal."
"HU026","Como usuario Quiero duplicar un proyecto existente Para usarlo como plantilla en nuevos desarrollos","El sistema permite clonar un proyecto completo.; El proyecto duplicado genera un nuevo ID único.; El contenido se copia íntegramente sin afectar el original."
"HU027","Como usuario Quiero compartir mi proyecto con otro usuario autenticado Para colaborar en la construcción de la documentación","El sistema permite ingresar el correo institucional del usuario a compartir.; Solo se permite compartir con usuarios existentes en el sistema.; El usuario compartido puede visualizar el proyecto según permisos asignados."
"HU028","Como administrador del proyecto Quiero asignar distintos niveles de permisos (lector, editor) Para controlar las acciones que cada usuario puede realizar","El lector solo puede visualizar contenido.; El editor puede modificar secciones del proyecto.; Los permisos pueden modificarse en cualquier momento."
"HU029","Como usuario Quiero configurar parámetros generales del proyecto Para personalizar la estructura y comportamiento de la documentación generada","El sistema permite configurar idioma del proyecto.; Permite definir formato de identificadores (ej. RF-001).; Permite activar o desactivar secciones específicas."
"HU030","Como desarrollador, Quiero implementar una arquitectura separada por API y basada en componentes las conection con protocolos HTTP ya que van a estar contenerizados desde GCP, Para garantizar que el sistema sea escalable y los datos provengan únicamente de la base de datos.","El frontend y backend deben estar separados mediante el uso de una API (RR01001).; Solo se deben actualizar los componentes que lo ameriten al recibir respuestas del agente (RR01002).; No debe haber datos ""quemados""; la base de datos es la única fuente de verdad (RR01003)."
"HU031","Como usuario, Quiero interactuar con un agente de IA que use modelos autorizados y seguros, Para evitar respuestas irrelevantes o instrucciones fuera de la funcionalidad del sistema, ya que modelos viejos a con menos parámetro pueden alucinar información errónea.","El sistema debe usar solo proveedores de IA autorizados por el banco o modelos locales (RR02001).; Se debe bloquear cualquier instrucción que no sea relevante o sea ambigua (RR02002).; El sistema debe indicar al usuario cuando una pregunta no es permitida (RR02002)."
"HU032","Como analista, Quiero generar y modificar diagramas UML y Entidad-Relación mediante código y conversación, Para exportar la documentación técnica fuera de la plataforma.","Los diagramas se limitan a modelos UML y Entidad-Relación (RR03001).; Los diagramas deben ser representados por código para permitir su expansión vía chat (RR03002).; Se debe permitir la exportación de los diagramas fuera del sistema (RR03003)."
"HU033","Como administrador de seguridad, Quiero restringir el acceso a usuarios autenticados y controlar las sesiones, Para prevenir ingresos de personal no genuino y uso compartido de cuentas.","Autenticación exclusiva con credenciales pertenecientes al banco (RR04001).; Bloqueo de acceso automático ante sospechas de usuario no genuino o intentos fallidos (RR04002).; Solo se permite una (1) sesión activa simultánea por usuario (RR04003)."
"HU034","Como Sistema Quiero poder almacenar el perfil del usuario como su nombre, rol, correo Para mantener un control de acceso a la información, tener trazabilidad de cambios, y persistencia del sistema","Existe una tabla de usuarios con los campos de nombre, rol, correo.; Existe una estructura de tablas que maneje los permisos del usuario estilo RBAC; El correo de usuario debe de ser único dentro del sistema.; El correo de usuario debe de pertenecer a una lista de dominios aceptados (@banorte.com); Los permisos de usuario se almacenan en una estructura fácilmente consultable como JSON o mediante relación de tablas."
"HU035","Como sistema Quiero persistir los proyectos con sus metadatos y su usuario dueño Para poder consultar posteriormente sus datos, y su historial de edición.","Existe una tabla proyecto que almacene sus datos como título, descripción corta, fecha de creación, y id del usuario que la genero.; El proyecto siempre esta asociado a exactamente 1 usuario.; Un usuario puede tener de 0 a N proyectos sin romper el sistema.; Una tabla debe de guardar la fecha y hora de cada cambio hecho solo si han pasado 30 mins desde el último cambio para evitar saturar la tabla."
"HU036","Como Sistema Quiero pesistir documentos del proyecto con su formato markdown / json editable y exportable Para poder recargar su contenido en su vista original, manteniéndolo uniforme para exportar","Los documentos se almacenan en un formato apto para edición como markdown o json.; Cada documento puede recuperarse en su forma original en la que fue presentada al usuario cuando genero el documento.; El sistema almacena la metadata necesaria para exportar el documento en su formato adecuado"
"HU037","Como Sistema Quiero almacenar sesiones de chat e historial conversacional por proyecto Para mantener la trazabilidad completa y las interacciones entre el usuario y el agente, para poder reconstruir su historial del proyecto.","Un proyecto debe contener mínimo 1 sesión de chat, y hasta N sesiones.; Cada sesión de chat debe almacenar tanto el mensaje del usuario como la respuesta del agente.; Cada sesión de chat debe de almacenar el timestamp en el que se generó.; Es posible consultar el historial completo de la conversación de un proyecto en orden cronológico."
"HU038","Como Sistema Quiero poder guardar elementos del proyecto como imágenes, documentos, diagramas, y otros en su formato adecuado Para visualizarlos y editarlos posteriormente sin perder la información.","Los elementos se almacenan en su formato adecuado, y hacen referencia al proyecto al que pertenecen.; El sistema permite recuperar el elemento en su formato original sin distorsionarlo o omitiendo partes de él.; Se conserva la metadata mínima requerida como nombre del archivo, extension, tamaño, lugar en el documento o proyecto, etc….; Se busca almacenar los diagramas en un formato para editar, no para que se quede permanentemente como esta."
"HU039","Como Sistema Quiero persistir los requerimientos y los elementos de trabajo del proyecto creado por el usuario con sus relaciones y categorías pertinentes Para mantener una estructura que sea fácil de consultar y navegar desde el front, permitiendo trazabilidad y filtros por tipo o categoría.","Se divide en HU060 a la HU063"
"HU040","Como Sistema Quiero persistir diagramas de arquitectura como estructuras con nodos y conexiones Para reconstruir el diagrama y su grado, con sus componentes y relaciones, para consultas futuras y permitir la edición de ellas.","Cada proyecto debe de contener al menos un diagrama; Cada diagrama debe de contener al menos un nodo; Cada nodo y conexión debe de pertenecer a un diagrama para mantener la integridad; Se puede recuperar un diagrama completo, el cual incluye todos sus nodos y sus conexiones.; Se pueden editar las conexiones entre nodos; Se puede editar la información de cada nodo"
"HU041","Como Sistema Quiero poder manejar el contexto que se le envía de IA de una forma que se consolide la información de todas las partes del proyecto, y se reduzca o compacte Para enviar solo el contexto necesario al agente principal y a su vez el orquestador a los demás agentes especializados, pudiendo soportar el crecimiento del historial sin saturar o perder el “scope” del proyecto o del agente.","Se divide en HU064 a la HU067"
"HU042","Como usuario Quiero ver pantallas de cargas dinamicas Para no tener una percepción negativa del tiempo de espera.","Al iniciar la generación de un proyecto, el sistema muestra una pantalla o componente de carga visible.; Si ocurre un error de generación, se muestra un mensaje claro y opción de reintentar.; Mientras no se complete la generación, el usuario puede ver que la sección sigue en proceso."
"HU043","Como usuario Quiero que el sistema funcione correctamente aunque hayan muchos usuarios generando proyectos al mismo tiempo Para poder trabajar sin interrupciones o fallas causadas por la carga del sistema.","El sistema permite que múltiples usuarios generen proyectos y documentos simultáneamente.; El desempeño de la aplicación se mantiene estable durante el alto flujo de personas.; No se presentan errores por saturación cuando varios usuarios están activos."
"HU044","Como administrador del sistema Quiero que el sistema cuente con un agente orquestador capaz de instanciar subagentes especializados por tarea Para delegar subcontextos sin perder el objetivo principal y generar resultados más precisos y coherentes","Existe un agente orquestador responsable de coordinar la generación del proyecto.; Cada subagente recibe únicamente el subcontexto necesario para su tarea.; Si un subagente falla o responde incompleto, el orquestador lo detecta y puede reintentar o solicitar alternativa."
"HU045","Como usuario Quiero que el sistema pueda ejecutar orquestadores y subagentes en paralelo para muchos usuarios, manteniendo mis generaciones aisladas Para evitar que mi información o resultados se mezclen con los de otros usuarios que estén usando la aplicación al mismo tiempo","El sistema permite que varios usuarios tengan generaciones activas al mismo tiempo.; Para cada usuario activo, el sistema puede instanciar su propio orquestador y sus propios subagentes.; Un usuario solo puede ver y editar contenido generado dentro de sus propios proyectos."
"HU046","Como administrador del sistema Quiero poder cambiar fácilmente el modelo de IA utilizado para generar documentos Para mantener una arquitectura modular y escalar conforme salgan nuevos y mejores modelos","El sistema permite seleccionar/cambiar el modelo de IA mediante configuración.; La integración con la IA usa una interfaz común que soporta múltiples modelos.; El cambio de modelo no afecta proyectos existentes."
"HU047","Como usuario Quiero que toda comunicación entre el frontend y el backend requiera autenticación Para asegurar que nadie acceda a mis proyectos o información sin autorización","El sistema obliga a iniciar sesión antes de permitir acceso a funcionalidades; Todas las solicitudes del frontend hacia el backend incluyen un mecanismo de autenticación válido; Un usuario autenticado solo puede acceder a sus propios recursos"
"HU048","Como organizacion Quiero que el sistema no exponga datos sensibles en ninguna pantalla, respuesta o registro Para prevenir filtraciones de información y cumplir con estándares de seguridad","El sistema no muestra datos sensibles en respuestas del backend, pantallas, ni mensajes de error.; La exportación de documentos solo incluye el contenido del proyecto del usuario y no agrega información interna del sistema.; Solo usuarios autenticados y autorizados pueden visualizar información de sus propios proyectos."
"HU049","Como administrador de sistema Quiero que se registren los accesos, modificaciones y exportaciones realizadas por cada usuario Para contar con trazabilidad y control de las acciones dentro del sistema","El sistema registra cada inicio de sesión exitoso y fallido.; Se registran las acciones de modificación realizadas en proyectos o documentos.; Se registran las exportaciones de documentación realizadas por el usuario."
"HU050","Como usuario Quiero que la aplicación funcione correctamente en los navegadores más utilizados Para poder acceder al sistema desde cualquier entorno de trabajo sin problemas de compatibilidad","La aplicación funciona correctamente en Google Chrome, Microsoft Edge, Safari y Mozilla Firefox.; La interfaz se visualiza adecuadamente sin errores graves de diseño o interacción.; El sistema mantiene comportamiento consistente entre navegadores soportados."
"HU051","Como usuario Quiero que la aplicación sea responsiva en dispositivos móviles Para poder acceder y utilizar el sistema desde mi teléfono o tablet sin problemas de visualización o uso","La interfaz se adapta automáticamente a distintos tamaños de pantalla.; Los elementos de navegación, botones y campos son utilizables mediante interacción táctil.; Los flujos críticos (login, visualizar proyectos, editar secciones, generar contenido) funcionan correctamente en móvil."
"HU052","Como usuario Quiero que la aplicación funcione correctamente en los sistemas operativos utilizados por el banco Para poder trabajar sin limitaciones ni pérdida de funcionalidades según el equipo que utilice","La aplicación funciona correctamente en los sistemas operativos corporativos autorizados por el banco; Todas las funcionalidades principales (login, creación, edición, generación y exportación) están disponibles sin restricciones por sistema operativo.; No se presentan fallos críticos derivados del sistema operativo del usuario."
"HU053","Como desarrollador Quiero contar con pruebas unitarias en el backend que cubran rutas de la API y validaciones de seguridad Para detectar errores temprano y asegurar que el sistema sea confiable y seguro en cada cambio","Existen pruebas unitarias para la lógica del backend relacionada con las rutas principales de la API.; Se validan casos correctos y casos inválidos (entradas vacías, formatos incorrectos, límites).; Se prueban validaciones de seguridad (autenticación requerida, acceso denegado sin permisos, manejo de sesión/token)."
"HU054","Como equipo de desarrollo Quiero contar con pruebas de integración que validen la interacción entre módulos en cada actualización Para asegurar que el sistema siga siendo estable y que los cambios no rompan funcionalidades existentes","Las pruebas cubren escenarios críticos de extremo a extremo a nivel de integración (crear proyecto, guardar cambios, generar secciones, exportar).; Si una prueba falla, se reporta el error y la actualización no se considera estable hasta corregirse.; Las pruebas se ejecutan en un entorno controlado con datos de prueba."
"HU055","Como equipo de calidad / desarrollo Quiero contar con pruebas de frontend para los flujos críticos del sistema Para asegurar que el usuario pueda iniciar sesión, crear proyectos, editar secciones y exportar requerimientos sin fallos","Las pruebas validan resultados esperados (pantallas correctas, mensajes, persistencia de datos).; Las pruebas detectan fallos visuales o de interacción que impidan completar los flujos.; Si un flujo crítico falla, se reporta como error bloqueante."
"HU056","Como administrador del sistema / equipo de calidad Quiero realizar pruebas de carga sobre la aplicación Para verificar que puede soportar múltiples usuarios concurrentes generando proyectos al mismo tiempo sin fallos","Se ejecutan pruebas simulando múltiples usuarios al mismo tiempo realizando generación de proyectos simultáneamente.; El sistema mantiene estabilidad durante la prueba.; Las funcionalidades principales continúan operando correctamente bajo carga."
"HU057","Como administrador del sistema Quiero que la aplicación utilice una base de datos SQL en la nube Para almacenar la información de forma persistente, escalable y accesible para el sistema","El backend se conecta a una base de datos SQL alojada en la nube.; Los proyectos, secciones generadas, usuarios y cambios se almacenan de forma persistente.; La información se puede consultar y actualizar mediante la API sin pérdida de consistencia.; No se depende de almacenamiento local para datos críticos del sistema.; La base de datos soporta múltiples conexiones simultáneas sin fallas."
"HU058","Como administrador del sistema Quiero que la base de datos realice respaldos automáticos Para prevenir la pérdida de información y poder recuperar los datos ante fallos","La base de datos genera respaldos automáticos de forma periódica.; Los backups se almacenan en una ubicación segura dentro de la infraestructura en la nube.; Es posible restaurar la base de datos a partir de un respaldo válido."
"HU059","Como organización Quiero contar con mecanismos de recuperación ante fallos en la base de datos y el sistema Para restablecer la operación y evitar pérdida significativa de información ante incidentes","Existe un procedimiento documentado para recuperar el sistema tras una falla crítica.; El sistema puede restaurar la información a partir de respaldos disponibles.; La recuperación permite reanudar la operación normal en un tiempo razonable."
"HU060","Como Sistema Quiero poder crear y ver el catálogo de categorías o tipos de requerimientos Para clasificar y filtrar mis requerimientos.","Existe una tabla con categorías de requerimientos: funcionales, no funcionales, datos, diseño, interfaz, etc.; Se puede consumir la tabla desde el front."
"HU061","Como Sistema Quiero almacenar requerimientos asociados a un proyecto Para poder consultarlos posteriormente","Un proyecto puede tener 1 a N requerimientos; Cada requerimiento debe de tener id, titulo, descripcion, categoria"
"HU062","Como Sistema Quiero poder ver los elementos agile del proyecto Para poder gestionar y navegar en el front","Un proyecto puede tener 1 a N elementos agile; Cada elemento tiene un tipo : Épica, historia, tarea; Cada elemento guarda título, descripción, y proyecto al que pertenecen."
"HU063","Como Sistema Quiero poder soportar una jerarquía de elementos agile Para poder tener trazabilidad.","Una tarea siempre pertenece a una historia de usuario.; Una historia de usuario siempre pertenece a una épica; Una épica puede tener 1 o muchas historias de usuario; Una historia de usuario puede tener 1 o muchas tareas."
"HU064","Como Sistema Quiero almacenar un contexto general por proyecto Para centralizar descripciones, restricciones, e historial","Existe una tabla de contexto; Cada contexto está ligado a 1 solo proyecto; Un proyecto puede tener varios segmentos de contexto"
"HU065","Como Sistema Quiero construir sub-contextos por rol de subagentes Para enviar solo la información necesaria","Cada contexto tiene un agente asignado; El agente puede tener varios contextos asignados"
"HU066","Como Sistema Quiero poder actualizar el contexto afectado cuando cambia una sección Para poder mantener los contextos actualizados","Si cambia una sección, su contexto asignado es actualizado; El contexto global solo se actualiza si es pertinente"
"HU067","Como Sistema Quiero poder reducir el historial de contexto cuando crezca Para seguir operando sin perder tiempo o el enfoque","Cuando haya mas de X contextos, un agente se encarga de compactarlo con lo mas importante; No se pierde información importante"
